ID,keyPressed,keyState,timestamp
0,t,DOWN,2017-05-15 17:27:37.358
1,t,UP,2017-05-15 17:27:37.451
2,h,DOWN,2017-05-15 17:27:37.928
3,h,UP,2017-05-15 17:27:38.007
4,i,DOWN,2017-05-15 17:27:38.182
5,i,UP,2017-05-15 17:27:38.279
6,s,DOWN,2017-05-15 17:27:38.488
7,s,UP,2017-05-15 17:27:38.534
8, ,DOWN,2017-05-15 17:27:39.075
9, ,UP,2017-05-15 17:27:39.125
10,i,DOWN,2017-05-15 17:27:39.599
11,i,UP,2017-05-15 17:27:39.681
12,s,DOWN,2017-05-15 17:27:39.851
13,s,UP,2017-05-15 17:27:39.915
14, ,DOWN,2017-05-15 17:27:40.028
15, ,UP,2017-05-15 17:27:40.094
16,a,DOWN,2017-05-15 17:27:40.444
17,a,UP,2017-05-15 17:27:40.530
18, ,DOWN,2017-05-15 17:27:40.661
19, ,UP,2017-05-15 17:27:40.722
20,t,DOWN,2017-05-15 17:27:41.094
21,t,UP,2017-05-15 17:27:41.168
22,e,DOWN,2017-05-15 17:27:41.841
23,e,UP,2017-05-15 17:27:41.964
24,s,DOWN,2017-05-15 17:27:42.122
25,s,UP,2017-05-15 17:27:42.227
26,t,DOWN,2017-05-15 17:27:42.351
27,t,UP,2017-05-15 17:27:42.429
28,v,DOWN,2017-05-15 17:27:42.755
29,v,UP,2017-05-15 17:27:42.839
30,t,DOWN,2017-05-15 17:27:43.652
31,t,UP,2017-05-15 17:27:43.764
32,o,DOWN,2017-05-15 17:27:43.977
33,o,UP,2017-05-15 17:27:44.045
34, ,DOWN,2017-05-15 17:27:44.245
35, ,UP,2017-05-15 17:27:44.323
36,OTHER,DOWN,2017-05-15 17:27:45.255
37,OTHER,UP,2017-05-15 17:27:45.346
38,OTHER,DOWN,2017-05-15 17:27:45.431
39,OTHER,UP,2017-05-15 17:27:45.463
40,OTHER,DOWN,2017-05-15 17:27:45.560
41,OTHER,UP,2017-05-15 17:27:45.621
42,OTHER,DOWN,2017-05-15 17:27:45.718
43,OTHER,UP,2017-05-15 17:27:45.779
44,b,DOWN,2017-05-15 17:27:46.356
45,b,UP,2017-05-15 17:27:46.428
46,t,DOWN,2017-05-15 17:27:46.577
47,t,UP,2017-05-15 17:27:46.682
48,o,DOWN,2017-05-15 17:27:46.894
49,o,UP,2017-05-15 17:27:46.972
50, ,DOWN,2017-05-15 17:27:47.130
51, ,UP,2017-05-15 17:27:47.205
52,OTHER,DOWN,2017-05-15 17:27:47.637
53,OTHER,UP,2017-05-15 17:27:47.722
54,OTHER,DOWN,2017-05-15 17:27:47.825
55,OTHER,UP,2017-05-15 17:27:47.874
56,OTHER,DOWN,2017-05-15 17:27:47.954
57,OTHER,UP,2017-05-15 17:27:48.024
58,OTHER,DOWN,2017-05-15 17:27:48.102
59,OTHER,UP,2017-05-15 17:27:48.196
60, ,DOWN,2017-05-15 17:27:49.068
61, ,UP,2017-05-15 17:27:49.122
62,t,DOWN,2017-05-15 17:27:49.436
63,t,UP,2017-05-15 17:27:49.557
64,o,DOWN,2017-05-15 17:27:49.915
65,o,UP,2017-05-15 17:27:49.997
66, ,DOWN,2017-05-15 17:27:50.330
67, ,UP,2017-05-15 17:27:50.429
68,s,DOWN,2017-05-15 17:27:51.057
69,s,UP,2017-05-15 17:27:51.179
70,e,DOWN,2017-05-15 17:27:51.289
71,e,UP,2017-05-15 17:27:51.400
72,e,DOWN,2017-05-15 17:27:51.500
73,e,UP,2017-05-15 17:27:51.572
