ID,keyPressed,keyState,timestamp
0,t,DOWN,2017-05-16 16:29:54.755
1,t,UP,2017-05-16 16:29:54.816
2,h,DOWN,2017-05-16 16:29:55.308
3,h,UP,2017-05-16 16:29:55.397
4,i,DOWN,2017-05-16 16:29:55.533
5,i,UP,2017-05-16 16:29:55.605
6,s,DOWN,2017-05-16 16:29:55.902
7,s,UP,2017-05-16 16:29:56.007
8, ,DOWN,2017-05-16 16:29:57.478
9, ,UP,2017-05-16 16:29:57.579
10,i,DOWN,2017-05-16 16:29:57.807
11,i,UP,2017-05-16 16:29:57.903
12,i,DOWN,2017-05-16 16:29:59.006
13,i,UP,2017-05-16 16:29:59.103
14,s,DOWN,2017-05-16 16:29:59.174
15,s,UP,2017-05-16 16:29:59.263
16, ,DOWN,2017-05-16 16:29:59.526
17, ,UP,2017-05-16 16:29:59.608
18,a,DOWN,2017-05-16 16:30:00.203
19,a,UP,2017-05-16 16:30:00.285
20, ,DOWN,2017-05-16 16:30:00.491
21, ,UP,2017-05-16 16:30:00.567
22,t,DOWN,2017-05-16 16:30:00.869
23,t,UP,2017-05-16 16:30:00.958
24,e,DOWN,2017-05-16 16:30:01.065
25,e,UP,2017-05-16 16:30:01.134
26,s,DOWN,2017-05-16 16:30:01.301
27,s,UP,2017-05-16 16:30:01.406
28,t,DOWN,2017-05-16 16:30:01.511
29,t,UP,2017-05-16 16:30:01.581
30, ,DOWN,2017-05-16 16:30:02.279
31, ,UP,2017-05-16 16:30:02.362
32,t,DOWN,2017-05-16 16:30:03.012
33,t,UP,2017-05-16 16:30:03.108
34,o,DOWN,2017-05-16 16:30:03.187
35,o,UP,2017-05-16 16:30:03.224
36, ,DOWN,2017-05-16 16:30:03.412
37, ,UP,2017-05-16 16:30:03.503
38,s,DOWN,2017-05-16 16:30:03.636
39,s,UP,2017-05-16 16:30:03.716
40,e,DOWN,2017-05-16 16:30:04.054
41,e,UP,2017-05-16 16:30:04.159
42,e,DOWN,2017-05-16 16:30:04.230
43,e,UP,2017-05-16 16:30:04.319
44, ,DOWN,2017-05-16 16:30:04.551
45, ,UP,2017-05-16 16:30:04.617
46,i,DOWN,2017-05-16 16:30:05.459
47,i,UP,2017-05-16 16:30:05.539
48,f,DOWN,2017-05-16 16:30:05.771
49,f,UP,2017-05-16 16:30:05.860
50,n,DOWN,2017-05-16 16:30:05.867
51,n,UP,2017-05-16 16:30:05.978
